disease,gt_codes,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires
ElectrodeReversals,ARM,23,21776,0,0,23,21776,0.0,1.0,0.0,0.9989449057296206,0.0,0.9989449057296206,0.5,0.0005275471351896876,0.0010550942703793753,0.0,0
JunctionalRhythm,"JR,JTACH,JUNBRAD,JUNCT-R",135,21664,0,0,135,21664,0.0,1.0,0.0,0.9938070553695124,0.0,0.9938070553695124,0.5,0.0030964723152438183,0.006192944630487637,0.0,0
Pacing,"APR,ASVPR,AVDPR,VPR",222,21577,0,0,222,21577,0.0,1.0,0.0,0.9898160466076426,0.0,0.9898160466076426,0.5,0.005091976696178724,0.010183953392357448,0.0,0
SinusArrhythmia,"MSAR,SAR",1473,20326,0,0,1473,20326,0.0,1.0,0.0,0.9324280930317904,0.0,0.9324280930317904,0.5,0.03378595348410478,0.06757190696820956,0.0,0
NonspecificSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.328501307399422,7161
PoorRWaveProgression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.18065048855452084,3938
QRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.13918069636221844,3034
STElevationMechanismUnknown,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.09651818890774806,2104
PericarditisOrEarlyRepol,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0005046103032249185,11
Brugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.00022936831964769026,5
PediatricAtrialEnlargement,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PedBiventricularHypertrophy,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricBrugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricConduction,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricDextrocardia,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PedEarlyRepolPericarditis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricLowVoltageQRS,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricLVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricQWaveMI,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PedNonspecificBlock,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricProlongedQT,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricQRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricRVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PedSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricSTElevation,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricTWave,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricWPW,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
