disease,scp_gt,positives_GT,negatives_GT,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,F1,accuracy,ROC_AUC,PR_AUC,prevalence,fire_rate,fires
PediatricTWave,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0011938653687207272,26
PericarditisOrEarlyRepol,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0011479474699237762,25
Brugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0006428505831573147,14
PediatricRVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.00045917898796951054,10
PedSTDepression,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.00041326108917255947,9
PediatricLowVoltageQRS,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.00032142529157865734,7
PedEarlyRepolPericarditis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.00013775369639085317,3
PediatricAtrialEnlargement,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,9.18357975939021e-05,2
PediatricSTElevation,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,9.18357975939021e-05,2
PediatricLVH,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.591789879695105e-05,1
EctopicAtrialRhythm,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
ElectrodeReversals,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PedBiventricularHypertrophy,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricBrugada,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricDextrocardia,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricQWaveMI,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricProlongedQT,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricQRSAxis,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
PediatricWPW,(no GT),0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0
