disease,has_gt,F1_measurements_only,Sens_measurements_only,Spec_measurements_only,TP_measurements_only,FP_measurements_only,FN_measurements_only,F1_derived_flags,Sens_derived_flags,Spec_derived_flags,TP_derived_flags,FP_derived_flags,FN_derived_flags,F1_statement_flags,Sens_statement_flags,Spec_statement_flags,TP_statement_flags,FP_statement_flags,FN_statement_flags,F1_delta_derived_vs_meas,F1_delta_stmt_vs_meas
SinusArrhythmia,True,0.0,0.0,1.0,0,0,1473,0.0,0.0,1.0,0,0,1473,0.0,0.0,1.0,0,0,1473,0.0,0.0
SinusRhythm,True,0.9905612244897959,0.9888458795966181,0.9302540415704388,19415,151,219,0.9905612244897959,0.9888458795966181,0.9302540415704388,19415,151,219,0.9905612244897959,0.9888458795966181,0.9302540415704388,19415,151,219,0.0,0.0
STDepressionIschemia,True,0.22140447715424716,0.2571225071225071,0.9266486884040206,361,1496,1043,0.25133120340788073,0.25213675213675213,0.9480755087031135,354,1059,1050,0.25184145913714484,0.2556980056980057,0.9466535915665605,359,1088,1045,0.029926726253633573,0.030436981982897682
STElevationInjury,True,0.0625,0.4603174603174603,0.9615384615384616,29,836,34,0.10707456978967496,0.4444444444444444,0.9801251380198749,28,432,35,0.1124031007751938,0.4603174603174603,0.9804931910195068,29,424,34,0.04457456978967496,0.049903100775193804
TWaveIschemia,True,0.36819715417339005,0.3478381374722838,0.8925842449562971,1255,1954,2353,0.3925233644859813,0.3317627494456763,0.9288659227090319,1197,1294,2411,0.40523509452254,0.3475609756097561,0.9270518388213952,1254,1327,2354,0.024326210312591245,0.03703794034914992
UndeterminedRhythm,True,0.031190926275992438,0.2323943661971831,0.9103753982546059,33,1941,109,0.031190926275992438,0.2323943661971831,0.9103753982546059,33,1941,109,0.031190926275992438,0.2323943661971831,0.9103753982546059,33,1941,109,0.0,0.0
NonspecificTWave,True,0.21680948468130062,0.9447570332480818,0.33299737956057246,1847,13236,108,0.21680948468130062,0.9447570332480818,0.33299737956057246,1847,13236,108,0.21680948468130062,0.9447570332480818,0.33299737956057246,1847,13236,108,0.0,0.0
WPW,True,0.42424242424242425,0.42857142857142855,0.9986666666666667,21,29,28,0.42424242424242425,0.42857142857142855,0.9986666666666667,21,29,28,0.42424242424242425,0.42857142857142855,0.9986666666666667,21,29,28,0.0,0.0
LBBB,True,0.6594071385359952,0.9628975265017667,0.9744736966043422,545,542,21,0.6634026927784578,0.9575971731448764,0.9752272406160223,542,526,24,0.6951530612244898,0.9628975265017667,0.9784768991663919,545,457,21,0.003995554242462562,0.035745922688494636
ElectrodeReversals,True,0.0,0.0,1.0,0,0,23,0.0,0.0,1.0,0,0,23,0.0,0.0,1.0,0,0,23,0.0,0.0
